,open,high,low,close,rsi,macd,macd_signal,bb_high,bb_low,atr
2025-05-07,1.13721,1.13782,1.12914,1.13106,55.993551619901815,0.009161737984739515,0.011948370966180812,1.1475471425618304,1.1223228574381696,0.010834448616109963
2025-05-08,1.1312,1.13362,1.12116,1.12261,50.057917546941965,0.007697362399518681,0.011098169252848388,1.1468584302204594,1.1233845697795404,0.010950559429244975
2025-05-09,1.12268,1.12929,1.11964,1.1246,51.36545756339019,0.00662108679970741,0.010202752762220192,1.1471489317241284,1.1219680682758717,0.010857662327156044
2025-05-12,1.12136,1.12428,1.10651,1.1088,41.97003412395692,0.004441998089886878,0.009050601827753529,1.1500942895816475,1.1163807104183527,0.011374257875216323
2025-05-13,1.10878,1.11947,1.10868,1.11856,48.26517683271166,0.0034626892934193076,0.007933019320886685,1.1506783576365778,1.1148406423634225,0.011332525169843718
2025-05-14,1.11855,1.12658,1.11643,1.11749,47.65482703402999,0.002570607594837293,0.006860536975676807,1.1504412866091365,1.1128567133908633,0.011248059086283445
2025-05-15,1.11763,1.1228,1.117,1.11872,48.4616558163784,0.0019405081717904782,0.005876531214899542,1.1502007824152338,1.1113012175847663,0.010858912008691771
2025-05-16,1.11883,1.12196,1.11307,1.1164,46.990422174629394,0.0012396552543403327,0.0049491560227877,1.1496214042832702,1.1096075957167297,0.010718275436642364
2025-05-19,1.11737,1.12881,1.11711,1.12431,52.30676921620585,0.0013074239913313246,0.004220809616496425,1.1458565282884383,1.110718471711562,0.010839112905453627
2025-05-20,1.12433,1.12858,1.12177,1.12822,54.723967609515434,0.0016575285688444907,0.0037081534069660386,1.1450745944797385,1.1106994055202613,0.010551319126492653
2025-05-21,1.12823,1.13628,1.12787,1.13281,57.450263803815744,0.002279091658704324,0.003422341057313696,1.1451216183763053,1.110697381623695,0.010398367760314609
2025-05-22,1.13282,1.1345,1.12555,1.12791,53.73067405519953,0.0023492155421134253,0.003207715954273642,1.143880784625513,1.110872215374487,0.010294912920292137
2025-05-23,1.12803,1.13757,1.12785,1.13606,58.538951385493405,0.003027526669660663,0.0031716780973510463,1.143827231446679,1.110891768553321,0.010253847711699838
2025-05-26,1.13667,1.14187,1.13617,1.13848,59.87241687288044,0.003717513716375187,0.0032808452211558745,1.1430918875604998,1.1112771124395002,0.009936430018006983
2025-05-27,1.13855,1.14071,1.1323,1.13304,55.547532631316415,0.0037817769157513226,0.0033810315600749643,1.1422164804613333,1.111610519538667,0.009827399302435041
2025-05-28,1.13309,1.13456,1.12834,1.12925,52.69181133746139,0.0034866922210659013,0.0034021636922731517,1.1418775024788452,1.111621497521155,0.009569727923689689
2025-05-29,1.1294,1.13845,1.12098,1.1369,57.447200786554404,0.0038260225346764543,0.0034869354607538123,1.1429173890181135,1.1114146109818868,0.01013403307199756
2025-05-30,1.13672,1.139,1.13121,1.1345,55.560300940171196,0.0038568252301298678,0.0035609134146290236,1.1434620402255353,1.1113679597744648,0.009966602138283445
2025-06-02,1.13494,1.14498,1.13454,1.14377,60.90208958217778,0.004576493151295713,0.003764029361962362,1.1455322258271126,1.1105317741728873,0.010003273414120344
2025-06-03,1.14398,1.14546,1.13638,1.1375,55.99901531522229,0.004588010831396483,0.003928825655849186,1.1455868230283284,1.1105121769716715,0.009937325313111745
2025-06-04,1.13749,1.14344,1.13567,1.14157,58.34341417687752,0.004869421995790102,0.0041169449238373694,1.1470466339288095,1.1101033660711908,0.009782516362175196
2025-06-05,1.14157,1.1495,1.14043,1.14416,59.81087884553415,0.005241018526346064,0.004341759644339109,1.1490952219030652,1.1102097780969347,0.009731622336305533
2025-06-06,1.1443,1.1457,1.1369,1.1394,55.912493932980375,0.005092713602691923,0.004491950436009672,1.1501339851265031,1.1106510148734972,0.009665077883712275
2025-06-09,1.1391,1.1439,1.1385,1.142,57.54040783035219,0.005125891071593447,0.004618738563126426,1.1497274380479798,1.11437756195202,0.009360429463447102
2025-06-10,1.1422,1.1447,1.1372,1.1423,57.734333904709516,0.005117401725899695,0.004718471195681081,1.1503087793931062,1.1161702206068937,0.009227541644629455
2025-06-11,1.1426,1.1499,1.1404,1.1487,61.74813966414896,0.005562973871285903,0.004887371730802045,1.151527693206175,1.118072306793825,0.009247002955727338
2025-06-12,1.1491,1.1631,1.1484,1.1583,66.83575930185822,0.0066144851091667345,0.005232794406474983,1.1547480477210093,1.1188099522789907,0.009636502744603953
2025-06-13,1.1581,1.1614,1.1488,1.1552,63.88108573684666,0.007115646505122752,0.005609364826204537,1.1558256710963852,1.1216123289036148,0.00984818111998938
2025-06-16,1.1535,1.1614,1.1522,1.1561,64.37350967833183,0.007498999205599821,0.005987291702083593,1.1576701857188434,1.122946814281157,0.009801882468561575
2025-06-17,1.1566,1.1577,1.1474,1.1479,56.77825192254259,0.007059757028416769,0.006201784767350229,1.1580213647253745,1.1245636352746256,0.009837462292235746
2025-06-18,1.1479,1.153,1.146,1.1479,56.77825192254259,0.006635168347963738,0.0062884614834729305,1.1585369691934182,1.1255570308065819,0.009634786414218915
2025-06-19,1.1483,1.1499,1.1445,1.1494,57.83372542520273,0.006346557064440983,0.006300080599666542,1.1585533907137093,1.1276896092862905,0.009332301670346125
2025-06-20,1.1494,1.1543,1.1489,1.1522,59.806824020983846,0.006271473499693148,0.0062943591796718636,1.1594864282361075,1.1283705717638928,0.009051422979607121
2025-06-23,1.1479,1.1581,1.1451,1.1576,63.36703726244049,0.006571946792273131,0.006349876702192118,1.1613112507133903,1.12845774928661,0.009333464195349462
2025-06-24,1.1576,1.1641,1.1573,1.1608,65.32703499818743,0.006987737015322626,0.006477448764818219,1.1631465675297883,1.1293984324702113,0.009152502467110208
2025-06-25,1.1608,1.1665,1.1589,1.1659,68.24328023984322,0.007640703862266562,0.006710099784307888,1.1651460263775353,1.1310639736224646,0.009041609433745197
2025-06-26,1.1658,1.1744,1.1653,1.1699,70.34966255979867,0.008384302345060046,0.00704494029645832,1.1684472598954714,1.1310627401045288,0.00904578018847769
2025-06-27,1.1695,1.1754,1.1679,1.1719,71.37212045579923,0.009030890303430406,0.007442130297852738,1.1712960492856848,1.131953950714315,0.008935367317872145
2025-06-30,1.1711,1.1788,1.1702,1.1786,74.53957850950029,0.00996903311635955,0.0079475108615541,1.1759055508007734,1.130827449199227,0.008911412509452718
2025-07-01,1.1786,1.1829,1.1759,1.1805,75.3717609228562,0.010742005028297141,0.00850640969490271,1.1797325073298601,1.13130049267014,0.008774883044491819
2025-07-02,1.1802,1.1809,1.1746,1.1798,74.40683297193155,0.011169353335048093,0.009038998422931786,1.1829394951345433,1.1319165048654565,0.008598105684170973
2025-07-03,1.1798,1.1809,1.1717,1.1756,68.72199710182124,0.01104184157156185,0.0094395670526578,1.1849188734323046,1.1330811265676954,0.008641098135301626
2025-07-04,1.1756,1.1787,1.1752,1.1778,70.01433725059309,0.01099160481587802,0.009749974605301843,1.186432710557677,1.1354072894423228,0.008273876839922941
2025-07-07,1.177,1.179,1.1686,1.1707,61.22268423657129,0.010260603314235617,0.009852100347088598,1.186648988968463,1.138061011031537,0.008425742779928443
2025-07-08,1.1709,1.1765,1.1682,1.1724,62.43886334605396,0.009706563923327804,0.00982299306233644,1.1866827430428466,1.1410372569571536,0.00841676115279071
2025-07-09,1.1724,1.1729,1.1689,1.1719,61.824694838167154,0.009121985324487492,0.00968279151476665,1.1869849356930493,1.1430550643069506,0.00810127821330566
2025-07-10,1.172,1.1749,1.1661,1.17,59.4323502213019,0.008408460948478913,0.009427925401509104,1.1874457394563414,1.1437642605436582,0.008151186912355265
2025-07-11,1.17,1.1713,1.1663,1.1689,58.03226318661464,0.007665859674415465,0.009075512256090377,1.1876361846707975,1.1449438153292026,0.007926102132901326
2025-07-14,1.1673,1.1697,1.1649,1.1663,54.74922844317607,0.0067892819277910466,0.008618266190430511,1.1876291142394433,1.1459708857605564,0.007702809123408367
2025-07-15,1.1666,1.1692,1.159,1.1599,47.6093683770657,0.005514592446215882,0.007997531441587586,1.1866481687440593,1.1481518312559407,0.00788117990030777
2025-07-16,1.1599,1.1721,1.1561,1.1634,51.346181515178756,0.004732262026791556,0.007344477558628381,1.1853575347373366,1.1509924652626633,0.008461095621714359
